index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,1420243200.0,0,0,0,0.0,0,12.618295665881305
558468,27,7,0.0,0,0,0,0.0,0,-6829.262044420047
76950,404,3,0.0,657,1,1,0.0,0,287.99441476590255
77556,683,2,0.0,862,1,0,0.0,0,277.02163288400243
456344,920,3,0.0,591,1,1,0.0,0,-191.00414209472729
436466,758,4,0.0,569,1,0,0.0,0,-1631.0980372648874
646251,563,1,0.0,321,1,1,0.0,0,-1669.3464496159195
650464,930,6,0.0,1367,1,0,0.0,0,3080.2532828756002
162710,756,4,1428278400.0,0,0,1,0.0,0,1446.2910268963997
100327,49,2,0.0,546,1,1,0.0,0,-279.17169654436293
374540,787,4,0.0,968,1,0,0.0,1,808.2629187583334
399143,782,4,0.0,472,1,0,0.0,0,-2223.9136790238745
44740,897,7,0.0,0,0,0,0.0,0,-6950.543504174224
674144,933,1,1378944000.0,965,1,0,0.0,0,7613.446098678397
81595,218,2,1435968000.0,804,1,0,0.0,1,6980.880147569135
416724,554,3,1378771200.0,499,1,1,0.0,1,6014.540569403386
632687,362,1,1386460800.0,1337,1,1,0.0,1,11285.062698265861
351899,655,3,1409788800.0,560,1,0,0.0,0,5231.044114901676
515940,785,3,0.0,461,1,0,0.0,1,-2218.2079416348242
567411,690,3,0.0,866,1,1,0.0,0,1513.0091904359724
274598,1103,7,0.0,0,0,0,0.0,0,-6982.265955977633
417880,431,1,1391644800.0,1367,1,1,0.0,0,11466.99304385663
453710,127,2,0.0,642,1,1,0.0,0,290.1285011138043
597622,579,5,0.0,0,0,1,0.0,1,-5505.401317041279
223346,248,6,1362700800.0,1139,1,0,0.0,0,8412.50355321684
630018,962,6,1414800000.0,0,0,0,0.0,0,-39.354848863118605
355860,224,2,0.0,515,1,1,0.0,1,-477.6066546485772
360080,208,3,0.0,355,1,1,0.0,1,-1504.5072426340457
129544,401,1,0.0,1063,1,1,0.0,0,2869.127933431867
422545,503,7,0.0,0,0,0,0.0,0,-6896.859344011256
174199,221,4,1430611200.0,562,1,1,0.0,0,6625.380271882098
118613,268,7,1392076800.0,0,0,0,0.0,0,-101.58444925954518
60310,799,2,0.0,927,1,1,0.0,1,1946.428757473067
328458,260,6,0.0,894,1,0,0.0,0,304.3987421723459
200661,1041,2,1443830400.0,594,1,0,0.0,0,5605.0706773355005
179581,350,2,0.0,533,1,1,0.0,0,-402.3571668227505
587612,286,7,1430697600.0,0,0,0,0.0,0,79.31503275268278
320169,620,2,1365206400.0,709,1,1,0.0,0,7255.621923550733
37194,521,1,0.0,484,1,1,0.0,0,-667.1869501128385
685427,649,4,0.0,435,1,1,0.0,0,-1158.6756548674584
125422,1059,2,1423180800.0,1239,1,1,0.0,0,10697.242902602611
24499,486,6,0.0,373,1,0,0.0,0,-2892.833985691216
281806,252,4,0.0,642,1,0,0.0,0,-1112.9120735880788
540511,656,3,0.0,421,1,1,0.0,0,-1187.0268377229104
28689,642,5,1418083200.0,394,1,0,0.0,0,4153.778105839902
165066,655,5,1438732800.0,761,1,1,0.0,0,7755.400798439095
555963,992,3,0.0,627,1,0,0.0,0,-1256.8089872030714
610614,143,2,1423180800.0,731,1,1,0.0,0,7737.255580410171
64013,421,5,0.0,941,1,1,0.0,1,1916.523780518396
30639,246,4,1391990400.0,1157,1,1,0.0,0,10052.521861949543
418604,960,1,0.0,720,1,1,0.0,0,700.7933057696446
468037,313,5,0.0,697,1,0,0.0,0,-845.4958322321681
271589,291,6,0.0,534,1,0,0.0,0,-1888.0511941674713
77924,924,6,0.0,333,1,0,0.0,0,-3199.7229812558603
247149,337,2,0.0,430,1,1,0.0,1,-1009.7196183188898
576822,1024,4,1449100800.0,607,1,0,0.0,0,5595.871092246915
108538,56,3,0.0,402,1,1,0.0,0,-1212.164009455706
645670,507,3,1409788800.0,532,1,0,0.0,0,5079.69801126555
601663,970,5,0.0,406,1,0,0.0,0,-2710.5472683570138
502588,846,2,0.0,828,1,0,0.0,0,43.15423899124744
66732,549,3,0.0,582,1,0,0.0,0,-1462.1909744312716
627113,1095,4,0.0,852,1,1,0.0,1,1329.8406176359595
691184,859,5,1386115200.0,709,1,1,0.0,0,7149.85778448321
467913,914,2,0.0,1178,1,1,0.0,1,3452.1734468587574
304890,888,2,0.0,634,1,0,0.0,0,-1140.5582650840342
274018,442,2,1397174400.0,517,1,1,0.0,0,6269.760556094688
644430,34,6,1378166400.0,905,1,0,0.0,0,7092.406129772565
669009,199,4,1412640000.0,581,1,0,0.0,0,5379.17860293029
518722,854,4,1428278400.0,657,1,1,0.0,0,7097.179937528544
505976,611,2,0.0,485,1,1,0.0,0,-734.6442921651715
291572,808,4,1441324800.0,528,1,0,0.0,1,5128.9926396156725
39071,1105,4,0.0,410,1,0,0.0,0,-2644.394443107417
319154,866,5,0.0,445,1,0,0.0,0,-2456.0258589020773
166603,222,6,0.0,367,1,0,0.0,0,-2892.387772059703
428262,476,2,0.0,753,1,1,0.0,0,914.7067278750274
20314,800,1,0.0,494,1,0,0.0,0,-1919.9527416500378
603091,330,1,0.0,408,1,0,0.0,0,-2379.8409781844734
500421,507,3,1435708800.0,648,1,1,0.0,0,7185.353321817408
388016,98,7,1360108800.0,0,0,0,0.0,0,-234.54001427572348
268257,1026,2,0.0,1044,1,0,0.0,0,1332.2311286592058
216326,990,5,1365552000.0,719,1,0,0.0,0,5822.549319187224
40755,8,6,1443657600.0,345,1,0,0.0,0,4015.024026314878
8654,611,3,0.0,566,1,1,0.0,1,-277.03738712660834
37301,257,2,0.0,777,1,1,0.0,0,1095.5816617766577
485623,840,4,0.0,1189,1,1,0.0,0,3399.0461442762926
214073,848,5,0.0,998,1,1,0.0,1,2200.0654407732827
406145,124,6,1417910400.0,297,1,0,0.0,0,3578.342819009843
397642,1028,2,0.0,438,1,0,0.0,1,-2335.5889536758755
273960,95,2,0.0,1099,1,1,0.0,0,3074.4138073248587
12104,208,1,0.0,323,1,0,0.0,0,-2873.8842548932985
361202,249,2,1407369600.0,449,1,0,0.0,0,4659.619853612842
79347,887,3,0.0,614,1,1,0.0,0,-43.19581919872326
462803,73,1,0.0,601,1,1,0.0,1,122.61736542962262
141713,13,4,1423008000.0,501,1,1,0.0,1,6265.447003809556
703618,1049,2,1362787200.0,580,1,0,0.0,1,5138.511521608788
308360,144,4,1430524800.0,769,1,1,0.0,0,7893.300010648621
317995,847,3,0.0,1018,1,1,0.0,1,2433.9577801129262
364408,796,3,1375660800.0,717,1,0,0.0,0,5999.283989118457
27886,396,4,1446768000.0,1139,1,0,0.0,0,8914.00926113794
706814,1080,7,0.0,0,0,0,0.0,0,-6982.638887713749
514516,675,5,0.0,338,1,0,0.0,0,-3080.564107909735
577373,1099,1,1389484800.0,1236,1,1,0.0,0,10562.292422400278
190561,791,1,1446681600.0,858,1,0,0.0,0,7316.510128233936
92512,1014,2,0.0,1476,1,0,0.0,0,3961.616883782871
565163,487,2,1397174400.0,737,1,1,0.0,0,7598.162049585498
500246,427,3,0.0,701,1,0,0.0,1,-707.3876711113244
223708,254,5,0.0,282,1,1,0.0,0,-2084.2917154551524
555732,43,5,0.0,710,1,0,0.0,0,-728.2157633375273
654150,1074,2,1441497600.0,421,1,0,0.0,0,4533.424740862615
558350,549,6,0.0,380,1,0,0.0,0,-2863.9454373763433
52167,1095,2,1375315200.0,720,1,1,0.0,0,7305.24752868666
296981,295,1,0.0,612,1,0,0.0,1,-1114.5621638188732
332143,319,1,0.0,863,1,0,0.0,1,407.511985045805
426553,1002,4,1412380800.0,642,1,0,0.0,0,5634.819772775248
481847,448,6,1402531200.0,544,1,0,0.0,0,4957.750204417626
100496,527,2,1362787200.0,1046,1,0,0.0,1,8051.909750187228
706377,255,5,1386115200.0,652,1,1,0.0,0,6890.471350953006
599169,581,5,1396828800.0,651,1,1,0.0,0,6890.233420652238
55294,185,6,1367366400.0,550,1,0,0.0,0,4865.132362672927
218737,244,6,0.0,538,1,0,0.0,0,-1856.4938519967081
266706,1082,6,1367366400.0,877,1,0,0.0,0,6721.600378712935
441953,216,5,0.0,837,1,1,0.0,0,1293.2044806355225
127184,350,4,1430611200.0,508,1,1,0.0,0,6278.879142692608
312223,748,1,0.0,822,1,1,0.0,0,1352.3899099504688
583377,718,1,1407801600.0,962,1,0,0.0,0,7767.150013286776
523743,739,5,0.0,789,1,1,0.0,0,925.1621029195394
476775,614,7,0.0,0,0,0,0.0,0,-6913.357228746083
